year	co2	temperature
1880	289.4699993	13.81
1881	289.7369993	13.89
1882	290.0189993	13.89
1883	290.2629992	13.8
1884	290.5119992	13.71
1885	290.7969992	13.68
1886	291.0999992	13.68
1887	291.4139991	13.65
1888	291.7629991	13.81
1889	292.1129991	13.88
1890	292.457999	13.62
1891	292.815999	13.75
1892	293.1669989	13.72
1893	293.4769989	13.67
1894	293.7909989	13.68
1895	294.0789989	13.76
1896	294.3649988	13.87
1897	294.6459988	13.87
1898	294.9539987	13.71
1899	295.2999986	13.81
1900	295.6749984	13.9
1901	296.006998	13.84
1902	296.3249974	13.7
1903	296.6539968	13.61
1904	296.9539963	13.5
1905	297.2889957	13.71
1906	297.6619951	13.77
1907	298.0979945	13.6
1908	298.517994	13.56
1909	298.9359935	13.52
1910	299.3769929	13.56
1911	299.8289923	13.57
1912	300.3529917	13.64
1913	300.9099911	13.65
1914	301.4189908	13.84
1915	301.9369903	13.88
1916	302.4849897	13.67
1917	303.0109891	13.56
1918	303.4489886	13.72
1919	303.8139883	13.73
1920	304.2459877	13.74
1921	304.5999873	13.82
1922	304.9449868	13.73
1923	305.2709861	13.75
1924	305.6299855	13.74
1925	305.812985	13.79
1926	305.9539845	13.91
1927	306.1769839	13.8
1928	306.3289833	13.81
1929	306.4949827	13.65
1930	306.6199824	13.85
1931	306.8219821	13.9
1932	307.0929818	13.83
1933	307.4019813	13.7
1934	307.7849806	13.86
1935	308.22698	13.79
1936	309.0119793	13.84
1937	309.7639786	13.96
1938	310.2939782	13.97
1939	310.8509776	13.97
1940	311.3569769	14.11
1941	311.8109763	14.18
1942	312.1719757	14.05
1943	312.3899752	14.07
1944	312.4129748	14.2
1945	312.3849746	14.08
1946	312.389974	13.93
1947	312.4859732	13.96
1948	312.5209725	13.89
1949	312.6319721	13.89
1950	312.8209713	13.82
1951	313.0139706	13.93
1952	313.34197	14.01
1953	313.7299694	14.07
1954	314.0949688	13.85
1955	314.414968	13.85
1956	314.6979672	13.79
1957	314.9919665	14.05
1958	315.3449659	14.08
1959	315.8069651	14.03
1960	316.6249644	13.98
1961	317.2989638	14.06
1962	318.0439631	14.05
1963	318.6499622	14.07
1964	319.3329614	13.8
1965	319.8159605	13.89
1966	320.8799597	13.95
1967	321.4799589	13.98
1968	322.388958	13.93
1969	323.250957	14.07
1970	324.7829559	14.03
1971	325.399955	13.91
1972	327.3489541	14.01
1973	329.9089531	14.15
1974	330.7559525	13.92
1975	330.826952	13.99
1976	331.544951	13.9
1977	333.3529501	14.17
1978	335.0099494	14.07
1979	336.6049484	14.16
1980	338.7049479	14.27
1981	340.0589478	14.33
1982	340.6439474	14.13
1983	342.2659473	14.31
1984	344.0079495	14.16
1985	345.4589538	14.11
1986	346.9029481	14.18
1987	348.7749474	14.33
1988	351.2759329	14.4
1989	352.8939214	14.29
1990	354.0729301	14.44
1991	355.3529349	14.41
1992	356.2289489	14.21
1993	356.9249589	14.23
1994	358.2539622	14.31
1995	360.2389564	14.44
1996	362.0049615	14.33
1997	363.2519618	14.47
1998	365.932958	14.62
1999	367.8449748	14.39
2000	369.12498	14.4
2001	370.6729901	14.53
2002	372.8349943	14.62
2003	375.410995	14.61
2004	376.9870025	14.54
2005	378.907005	14.66
2006	381.010007	14.61
2007	382.6030247	14.63
2008	384.7390186	14.51
2009	386.280019	14.63
2010	388.7170293	14.69
2011	390.9440147	14.57
2012	393.0159927	14.61
2013	395.7249793	14.64
2014	397.5469769	14.73
2015	399.3257296	14.86
2016	402.4147719	14.98
2017	405.1374103	14.89
